ID	Marker	Info
1688745542738674	STRIP2 ENSG00000128578	Photoreceptor cells
1688745542738674	CHGA ENSG00000100604	Photoreceptor cells
1688745542738674	RNPC3 ENSG00000185946	Photoreceptor cells
1688745542738674	VSTM2B ENSG00000187135	Photoreceptor cells
1688745542738674	CACNA2D4 ENSG00000151062	Photoreceptor cells
1688745542738674	VSX2 ENSG00000119614	Photoreceptor cells
1688745542738674	TRNP1 ENSG00000253368	Photoreceptor cells
1688745542738674	NEUROD4 ENSG00000123307	Photoreceptor cells
1688745542738674	GNB3 ENSG00000111664	Photoreceptor cells
1688745542738674	OTX2 ENSG00000165588	Photoreceptor cells
1688745542738674	CACNA2D3 ENSG00000157445	Photoreceptor cells
1688745542738674	LIN7A ENSG00000111052	Photoreceptor cells
1688745542738674	CCDC136 ENSG00000128596	Photoreceptor cells
1688745542738674	NDNF ENSG00000173376	Photoreceptor cells
1688745542738674	GNG13 ENSG00000127588	Photoreceptor cells
1688745542738674	PROX1 ENSG00000117707	Photoreceptor cells
1688745542738674	GPR179 ENSG00000277399	Photoreceptor cells
1688745542738674	CABP5 ENSG00000105507	Photoreceptor cells
1688745542738674	KCNMA1 ENSG00000156113	Photoreceptor cells
1688745542738674	LRTM1 ENSG00000144771	Photoreceptor cells
1688745542738674	PRKCA ENSG00000154229	Photoreceptor cells
1688745542738674	QPCT ENSG00000115828	Photoreceptor cells
1688745542738674	CPLX3 ENSG00000213578	Photoreceptor cells
1688745542738674	B3GALT2 ENSG00000162630	Photoreceptor cells
1688745542738674	ISL1 ENSG00000016082	Photoreceptor cells
1688745542738674	PCP2 ENSG00000174788	Photoreceptor cells
1688745542738674	PAX6 ENSG00000007372	Retinal progenitor cells
1688745542738674	CALB2 ENSG00000172137	Retinal progenitor cells
1688745542738674	SIX6 ENSG00000184302	Retinal progenitor cells
1688745542738674	RHO ENSG00000163914	Retinal progenitor cells
1688745542738674	SIX3 ENSG00000138083	Retinal progenitor cells
1688745542738674	NEFH ENSG00000100285	Retinal progenitor cells
1688745542738674	LGR5 ENSG00000139292	Retinal progenitor cells
1688745542738674	SAG ENSG00000130561	Retinal progenitor cells
1688745542738674	RAX ENSG00000134438	Retinal progenitor cells
1688745542738674	NOTCH1 ENSG00000148400	Retinal progenitor cells
1688745542738674	HES1 ENSG00000114315	Retinal progenitor cells
1688745542738674	MSI1 ENSG00000135097	Retinal progenitor cells
1688745542738674	SOX9 ENSG00000125398	Retinal progenitor cells
1688745542738674	SRA1 ENSG00000213523	Retinal progenitor cells
1688745542129286	KCNE3 ENSG00000175538	Crypt cells
1688745542129286	KCNQ1 ENSG00000053918	Crypt cells
1688745542129286	OLFM4 ENSG00000102837	Crypt cells
1688745542129286	PROM1 ENSG00000007062	Crypt cells
1688745542129286	LGR5 ENSG00000139292	Crypt cells
1688745542129286	EPHB2 ENSG00000133216	Crypt cells
1688745542129286	ASCL2 ENSG00000183734	Crypt cells
1688745542129286	BMI1 ENSG00000168283	Crypt cells
1688745542129286	HOPX ENSG00000171476	Crypt cells
1688745542129286	LRIG1 ENSG00000144749	Crypt cells
1688745542129286	LIG1 ENSG00000105486	Crypt cells
1688745542129286	TERT ENSG00000164362	Crypt cells
1688745542129286	MSI1 ENSG00000135097	Crypt cells
1688745542129286	SMOC2 ENSG00000112562	Crypt cells
1688745542129286	SMAP2 ENSG00000084070	Crypt cells
1688745542129286	TNFRSF19 ENSG00000127863	Crypt cells
1688745542129286	SLC12A2 ENSG00000064651	Crypt cells
1688745542129286	AXIN2 ENSG00000168646	Crypt cells
1688745542129286	GFRA3 ENSG00000146013	Enteric glia cells
1688745542129286	MPZ ENSG00000158887	Enteric glia cells
1688745542129286	LGI4 ENSG00000153902	Enteric glia cells
1688745542129286	RGS16 ENSG00000143333	Enteric glia cells
